"ap 05:09"|"Five nine"|"“How tall are you, Renault?”
“Five nine,” he gasped, still fighting for breath.
“Weight?”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“We’ve arrived at the moment of truth, Archie,” Carter said. “And here’s how I read it—tell me if I’m wrong. When a gross creep like Rollo comes in here and challenges The Vigils, then there’s something wrong. Very wrong. We can’t afford to have guys like Rollo thinking they can screw around with us. The word will spread and The Vigils fall apart.” Carter paused to let them imagine the dissolution of The Vigils. “Now, I said that something is very wrong. And I’ll tell you who’s wrong. We are.”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Archie didn’t say anything. He was suddenly in a roomful of strangers and he decided to do nothing at all. When in doubt, play the waiting game. Watch for an opening. It would be ridiculous to disagree with Carter, of course. Word had been spreading throughout the school—the kid had refused to sell the chocolates in direct defiance of The Vigils. That’s why they had assembled here this afternoon."|"The Chocolate War"|"Robert Cormier"
02:30|VIGILS|"Obie was eager to comply. Reaching under his chair he withdrew a poster that he had folded in two. Unfolded, the poster was about the size of an ordinary kitchen window. Obie held it up for all to see. The poster proclaimed in scrawled, scarlet letters—
SCREW THE CHOCOLATES
AND
SCREW THE VIGILS
"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“No,” Carter snorted. “Renault doesn’t have to go around putting up posters. He’s been saying screw The Vigils and the chocolates for weeks now. But this shows what’s happening. The word is spreading. If Renault can get away with defying us, other people are gonna try.” Finally, he turned to Archie. “Okay, Archie. You’re the brains of the outfit. And you also got us into this mess. Where do we go from here?”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“You’re pushing panic buttons for nothing,” Archie said, voice quiet and casual. He knew what he must do—regain his previous status, wipe away the memory of Rollo’s defiance and prove that he, Archie Costello, was still in command. He had to show them that he could take care of both Renault and the chocolates. And he was ready for them. While Carter had been making speeches and Obie flashing his poster around, Archie’s mind had been racing, probing, testing. He always worked better under pressure, anyway. “First of all, you can’t go around beating up half the kids in the school. That’s why I usually lay off the strong-arm stuff in the assignments. The brothers would close us down in no time and the kids would really start sabotaging if we started hurting people.” Noticing Carter’s frown, Archie decided to throw him a bone—Carter still ran the meetings and as Vigils president he could be a dangerous adversary. “All right, Carter, I’ll admit you did a beautiful job on Rollo and he had it coming. But nobody gives a damn about Rollo. He can lay in his vomit till kingdom come and nobody’d care. But Rollo’s an exception.”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Anticipating a deadlock on that topic, Archie changed directions. “But that doesn’t sell chocolates, Carter,” Archie said. “You told us The Vigils are linked up with the sale. Then the solution is simple. Let’s get the goddam sale over with as soon as possible. Let’s sell the chocolates. If Renault’s turning into some kind of rebel hero because he’s not selling the chocolates, how the hell is he going to look when everybody in the school is selling, except him?”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“They will, Obie,” Archie predicted, “they will. Do your thing, they say, Obie, do your thing. Well, we’re going to make selling chocolates the thing to do. And The Vigils will come out on top as usual. The school will love us for it—getting rid of their chocolates. We’ll be able to write our own ticket with Leon and the brothers. Why do you think I pledged support to Leon in the first place?” Archie’s voice was gentle with assurance, the old gentleness they all recognized as Archie’s hallmark when he was sailing high, wide and handsome. They admired the way Carter had employed his fists to demolish Rollo but they felt more secure with Archie in command, Archie who was capable of surprise after surprise."|"The Chocolate War"|"Robert Cormier"
"ap 11:00"|"eleven o’clock"|"That night at eleven o’clock the telephone rang again. Jerry figured it was his father—he was working the late shift at the drug store."|"The Chocolate War"|"Robert Cormier"
15:00|"three o’clock this afternoon"|"It was weirder than three o’clock this afternoon. The night, the darkness outside, the apartment riddled with lamplight shadows seemed more menacing. Forget it, Jerry told himself, it always seems worse at night."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"What had happened? He wasn’t certain. There was no single reason for the sudden turnabout, the surprising upswing, the unexpected rash of sales. But the proof of the change was not only here in the figures before him but everywhere in the school itself. Brian had witnessed the feverish activity and how the chocolates had suddenly become a vogue, a fad, the way hula hoops had caught on when they were kids in the first or second grade, the way demonstrations had been the big thing a few years ago. Rumors indicated that The Vigils had adopted the sale as a special crusade. And that was possible, although Brian hadn’t made any inquiries—he always steered clear of The Vigils. However, he’d seen some of the more prominent Vigil members waylaying kids in the corridors, checking on their sales, whispering menacingly to those who had sold only a few boxes. Each afternoon, teams of fellows left the school, loaded down with chocolates. They piled into automobiles and drove off. Brian heard that the teams drove to various sections of town and invaded neighborhoods, ringing doorbells, banging on doors, a massive sales effort as if they were all encyclopedia salesmen on commission, for crying out loud. Brian heard reports that someone had gotten permission to solicit at one of the local factories—four guys had circulated through the place and sold three hundred boxes in a couple of hours. The feverish activity kept Brian hopping, maintaining the records and then rushing down to the big boards in the assembly to post the results. The hall had become the school’s focal point. “Hey, look,” a kid had yelled out during the last posting. “Jimmy Demers sold his fifty boxes.”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"That was the creepy aspect of the sale, the way the credit was being distributed among all the students. Brian didn’t know whether this was fair or not but he didn’t argue about methods—Brother Leon was interested in results and so was Brian. And yet Brian was made uncomfortable by the situation. A few minutes ago, Carter had walked into the office with a fistful of money. Brian treated Carter with utmost care—he was head of The Vigils."|"The Chocolate War"|"Robert Cormier"
"ap 01:50"|one-fifty|"“Right.” Brian leaped to the task under Carter’s watchful gaze. His fingers trembled and he cautioned himself to make no mistakes. Let it be one-fifty exactly."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Fast? Hell, they’d been juggling the sales all week long and Brian hadn’t caught on for two entire days. He was tempted now to ask Carter if the campaign had turned into a Vigils project—like one of Archie Costello’s assignments—but decided to hold down his curiosity."|"The Chocolate War"|"Robert Cormier"
"ap 06:00"|six|"SWEET, SWEET IN THE DARK, SAFE. Dark and safe and quiet. He dared not move. He was afraid that his body would come loose, all his bones spilling out like a building collapsing, like a picket fence clattering apart. A small sound reached his ears and he realized it was himself, crooning softly, as if he were singing himself a lullaby. Suddenly, he missed his mother. Her absence formed tears on his cheeks. He hadn’t cried at all from the beating, had lain there on the ground for a few moments after the brief blackout, and then had dragged himself up and made it agonizingly to the locker room at school, walking as if on a tightrope and one misstep would send him hurtling into depths below: oblivion. He’d washed himself, cold water like liquid fingernails inflaming the scratches on his face. I won’t sell their chocolates whether they beat me up or not. And I’m not a fairy, not a queer. He had stolen away from the school, not wanting anyone to witness his painful passage down the street to the bus stop. He kept his collar up, like a criminal, like those men in newscasts being herded into court. Funny, somebody does violence to you but you’re the one who has to hide, as if you’re the criminal. He shuffled to the back of the bus, grateful that it wasn’t one of the crowded school buses but a maverick bus that appeared at odd hours. The bus was full of old people, old women with blue hair and big handbags and they pretended not to see him, sailing their eyes askew from him as he stalked to the rear of the bus, but their noses wrinkled as they caught the smell of vomit when he passed. Somehow, he’d made it home on the jolting bus, made it to this quiet room where he now sat, sun bleeding low in the sky and spurting its veins on the den window. Dusk moved in. After a while, he took a warm bath, soaking in the water. Then he sat in the dark, quiet, letting himself mend, not stirring, feeling a dull ache settle in his bones now that the first waves of pain had moved away. The clock struck six. He was glad that his father was on the evening shift, at work until eleven. He didn’t want his father to see him with these fresh cuts on his face, the bruises. Make it to the bedroom, he urged himself, undress, curl into cool sheets, tell him I came home sick, must be a virus, twenty-four-hour flu, and keep my face hidden."|"The Chocolate War"|"Robert Cormier"
"ap 11:00"|eleven|"SWEET, SWEET IN THE DARK, SAFE. Dark and safe and quiet. He dared not move. He was afraid that his body would come loose, all his bones spilling out like a building collapsing, like a picket fence clattering apart. A small sound reached his ears and he realized it was himself, crooning softly, as if he were singing himself a lullaby. Suddenly, he missed his mother. Her absence formed tears on his cheeks. He hadn’t cried at all from the beating, had lain there on the ground for a few moments after the brief blackout, and then had dragged himself up and made it agonizingly to the locker room at school, walking as if on a tightrope and one misstep would send him hurtling into depths below: oblivion. He’d washed himself, cold water like liquid fingernails inflaming the scratches on his face. I won’t sell their chocolates whether they beat me up or not. And I’m not a fairy, not a queer. He had stolen away from the school, not wanting anyone to witness his painful passage down the street to the bus stop. He kept his collar up, like a criminal, like those men in newscasts being herded into court. Funny, somebody does violence to you but you’re the one who has to hide, as if you’re the criminal. He shuffled to the back of the bus, grateful that it wasn’t one of the crowded school buses but a maverick bus that appeared at odd hours. The bus was full of old people, old women with blue hair and big handbags and they pretended not to see him, sailing their eyes askew from him as he stalked to the rear of the bus, but their noses wrinkled as they caught the smell of vomit when he passed. Somehow, he’d made it home on the jolting bus, made it to this quiet room where he now sat, sun bleeding low in the sky and spurting its veins on the den window. Dusk moved in. After a while, he took a warm bath, soaking in the water. Then he sat in the dark, quiet, letting himself mend, not stirring, feeling a dull ache settle in his bones now that the first waves of pain had moved away. The clock struck six. He was glad that his father was on the evening shift, at work until eleven. He didn’t want his father to see him with these fresh cuts on his face, the bruises. Make it to the bedroom, he urged himself, undress, curl into cool sheets, tell him I came home sick, must be a virus, twenty-four-hour flu, and keep my face hidden."|"The Chocolate War"|"Robert Cormier"
"ap 02:30"|Two-thirty|"The telephone ruptured the night. Jerry groped upward from sleep, reaching for the sound. Instantly awake, he glanced at the alarm clock’s luminous face. Two-thirty."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Emile swelled with pride. Was Archie talking about The Vigils? And was there really no photograph after all? What a relief that would be!"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Brian sighed, looking down at his fingers, tuning Leon out, letting the words fall meaninglessly on his ears. He thought of Renault, that strange stubborn kid. Was Leon right, after all? That the school was more important than any one kid? But weren’t individuals important, too? He thought of Renault standing alone against the school, The Vigils, everybody."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Archie, the architect of the event, watched the proceedings—the stadium filling up, the kids streaming in, the slips of paper being sold, passed back and forth, the lights dispelling some of the cool of the autumn evening. He stood near the improvised stage that Carter and The Vigils had erected that afternoon under Archie’s direction—an old boxing ring resurrected from the bowels of the bleachers and restored to its former use except for the absence of ropes. The platform stood directly at the fifty-yard line close to the stands so that each kid would see everything and wouldn’t miss any of the action. That was Archie. Give them their money’s worth."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Now, surveying his handiwork, the crowded bleachers, the frantic comings and goings as the raffle tickets were bought and sold and the directions scrawled on the tickets. Archie exulted quietly. He had successfully conned Renault and Leon and The Vigils and the whole damn school. I can con anybody. I am Archie."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Obie, the spotlight, concentrated on Renault. Poor dumb doomed kid. He can’t win and he doesn’t know it. Not from Archie. Nobody wins from Archie. Archie, who’d been going down to defeat—what a great scene that had been, the last Vigils meeting when he’d stood there humiliated—but now he was on top again, all the chocolate sold, in charge once more, the entire school in the palm of his hand. All of which proves that the meek don’t inherit the earth. Not very original. Archie must have said it at one time or another."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Brian Cochran was amazed but he shouldn’t have been—he was getting used to being amazed where Archie Costello was concerned. First the chocolate sale. And now this—this wacky raffle. Never anything like it at Trinity. Or anywhere. And he had to admit that he was kind of enjoying himself even though he had protested when Archie approached him this afternoon, asking him to take charge of the raffle. “You did great with the chocolates,” Archie said. The compliment melted Brian’s opposition. Besides, he was scared stiff of Archie and The Vigils. Personal survival, that’s what Brian believed in."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“Simple, Carter, simple.” Archie reveled in the moment, basking in Carter’s admiration, Carter who had humiliated him at The Vigils meeting. Someday he’d get even with Carter but at the moment it was satisfying enough to have Carter regarding him with awe and envy. “You see, Carter, people are two things: greedy and cruel. So we have a perfect setup here. The greed part—a kid pays a buck for a chance to win a hundred. Plus fifty boxes of chocolates. The cruel part—watching two guys hitting each other, maybe hurting each other, while they’re safe in the bleachers. That’s why it works, Carter, because we’re all bastards.”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Carter disguised his disgust. Archie repelled him in many ways but most of all by the way he made everybody feel dirty, contaminated, polluted. As if there was no goodness at all in the world. And yet Carter had to admit that he was looking forward to the fight, that he himself had bought not one but two tickets. Did that make him like everybody else—greedy and cruel, as Archie said? The question surprised him. Hell, he’d always thought of himself as one of the good guys. He had often used his position as president of The Vigils to keep control of Archie, to prevent him from going overboard on assignments. But did that make him one of the good guys? The question bothered Carter. That’s what he hated about Archie. He made you feel guilty all the time. Christ, the world couldn’t be as bad as Archie said it was. But hearing the shouts of the kids in the bleachers, impatient for the fight to get underway, Carter wondered."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Carter had been doubtful about using the black box, pointing out that this was not a Vigils meeting. How can we make Archie try for the marbles?"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"The sight of the black box stunned the gathering into a silence more deep than before. Only members of The Vigils and their victims had seen it. In the garish stadium light, the box was revealed as worn and threadbare, a small wooden container that might have been a discarded jewelry box. And yet it was a legend in the school. For potential victims, it was possible deliverance, protection, a weapon to be used against the might of The Vigils. Others doubted its existence: Archie Costello would never allow that sort of thing. But here was the black box now. Out in the open. In front of the whole frigging school. And Archie Costello looking at it, reaching out his hand to draw the marble."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"THE GOOBER ARRIVED at the last moment and made his way through the turmoil to the top of the bleachers. He’d been reluctant to come. He had washed his hands of the school and its cruelties and hadn’t wanted to witness Jerry’s daily humiliations. The school also reminded him of his own betrayals and defections. For three days, he’d been home in bed. Sick. He wasn’t at all sure whether he’d really been sick or whether his conscience had revolted, infecting his body, leaving him weak and nauseous. At any rate, the bed had become his private world, a small safe place without people, without The Vigils, without Brother Leon, a world with no chocolates to sell, no rooms to destroy, no people to destroy. But one of the guys called up and told him about the fight between Jerry and Janza. And how the raffle tickets would control the fight. The Goober had moaned in protest. The bed had become unbearable. He had tossed and turned all day, prowling the bed like an animal seeking sleep, oblivion. He didn’t want to go to the fight—Jerry couldn’t possibly win. But he couldn’t stay in bed, either. Finally, desperate, he had gotten out of bed, and dressed hurriedly, ignoring the protests of his parents. He had taken the bus across town and walked half a mile to the stadium. Now, he huddled in the seat, looking down at the platform, listening to Carter explaining the rules of the crazy fight. Terrible."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Brother Jacques stalked away. Archie and Leon watched him go. Archie smiled inside. But he masked his feelings. Leon was on his side. Beautiful. Leon and The Vigils and Archie. What a great year it was going to be."|"The Chocolate War"|"Robert Cormier"
